Platform Code,Rank,Club ID,Club Name,Skill Rating,Best Division,Current Division,Wins,Ties,Losses,Games Played,Goals,Goals Against,Clean Sheets,Goals Per Game,Goals Against Per Game,Reputation Level
nx,79,400542,La Rondoneta FC,1540,6,6,2,0,0,2,5,1,1,2.50,0.50,1
nx,80,1300019,AS BEARS,1539,4,6,33,19,46,98,272,312,1,2.78,3.18,2
nx,81,1391791,FC Marcodona,1538,3,3,20,6,28,54,104,119,9,1.93,2.20,2
nx,82,447333,free win pls,1538,4,6,14,3,19,36,99,114,9,2.75,3.17,1
nx,83,1498440,Girondingues,1537,6,6,1,0,0,1,3,0,0,3.00,0.00,1
nx,84,676603,Andrei,1537,6,6,2,1,0,3,12,8,0,4.00,2.67,1
nx,85,717761,los cherris,1536,3,5,53,16,60,129,335,343,24,2.60,2.66,3
nx,86,333399,Switch Bros EU,1536,4,5,43,14,68,125,298,373,16,2.38,2.98,3
nx,87,1441088,city united67,1535,6,6,1,0,0,1,4,1,0,4.00,1.00,1
nx,88,929051,fc tyron,1535,6,6,1,0,0,1,5,2,0,5.00,2.00,1
nx,89,525994,AS HAWKS,1535,4,4,11,3,5,19,66,39,3,3.47,2.05,3
nx,91,1492093,FC 26 SWITCH,1533,6,6,1,0,1,2,11,8,0,5.50,4.00,1
nx,92,1212911,Capri Son CFC,1531,6,6,1,0,0,1,3,0,1,3.00,0.00,1
nx,93,1095366,TAKOYAKIsss,1531,6,6,7,0,7,14,24,25,3,1.71,1.79,1
nx,94,710267,White Lions,1531,6,6,1,0,0,1,4,1,0,4.00,1.00,1
nx,95,1342161,FC Biryani,1530,6,6,2,0,1,3,8,5,1,2.67,1.67,1
nx,96,396343,Colluttorio,1530,6,6,1,0,0,1,5,0,1,5.00,0.00,1
nx,97,1369726,Fc Chocolat,1529,4,4,25,4,22,51,118,141,12,2.31,2.76,2
nx,98,1298480,fc nl ballers,1529,4,4,8,1,3,12,30,23,1,2.50,1.92,1
nx,99,1164422,MINOU UNITED,1528,4,5,32,16,36,84,276,284,8,3.29,3.38,2
nx,100,1083093,Ligonde fc,1528,6,6,1,0,0,1,4,0,1,4.00,0.00,1
