Platform Code,Rank,Club ID,Club Name,Skill Rating,Best Division,Current Division,Wins,Ties,Losses,Games Played,Goals,Goals Against,Clean Sheets,Goals Per Game,Goals Against Per Game,Reputation Level
nx,24,643160,chien fc,1694,3,6,27,7,21,55,164,154,8,2.98,2.80,3
nx,25,518519,Superstars Fc,1680,2,3,182,32,144,358,1337,1182,39,3.73,3.30,7
nx,26,1051591,Le Mans Warzone,1679,2,5,160,36,142,338,1142,1125,32,3.38,3.33,6
nx,27,908476,PATILLOS FC,1674,3,3,23,4,14,41,101,70,11,2.46,1.71,2
nx,28,922669,sport matozoid,1666,6,6,7,0,1,8,38,20,0,4.75,2.50,1
nx,29,1021411,ALMAGROFC,1665,3,3,23,4,18,45,141,129,4,3.13,2.87,2
nx,30,692468,J4BXLEN,1661,6,6,5,0,0,5,17,5,1,3.40,1.00,1
nx,31,498866,ssddssssdfsddfg,1653,4,6,49,16,43,108,327,319,9,3.03,2.95,3
nx,32,698028,PARIS SGGG,1646,6,6,6,1,1,8,27,8,4,3.38,1.00,1
nx,33,1239096,Frozen Gland,1640,4,4,10,1,2,13,41,15,6,3.15,1.15,1
nx,34,338312,get stuck in,1639,5,5,19,4,16,39,114,119,4,2.92,3.05,1
nx,35,1348933,DRAGONS ELITE,1638,5,5,7,0,0,7,21,0,7,3.00,0.00,1
nx,36,362160,AS GALATIQUE,1633,5,6,7,0,1,8,40,21,1,5.00,2.62,1
nx,37,409228,Combs FC,1623,3,3,49,8,39,96,333,281,15,3.47,2.93,3
nx,38,560130,Stade Parisien,1619,5,6,11,0,2,13,54,26,4,4.15,2.00,1
nx,39,302388,lfc is the best,1614,6,6,7,0,1,8,32,17,2,4.00,2.12,1
nx,40,725178,Cuervos FC1,1612,6,6,4,0,0,4,26,12,0,6.50,3.00,1
nx,41,406642,central unite,1611,3,4,37,8,28,73,189,181,12,2.59,2.48,3
nx,42,386512,Olympique Foot,1610,2,6,154,34,133,321,1028,984,45,3.20,3.07,7
